A  	,Element	,Z,N  	,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma   	,B_exp (W.u.),B_exp Unc (W.u.),
20 	,F      	,9  	,11 	,3526.31   	,4       	,0+                	,3.8 FS 4                 	,2469.34   	,4       	,[M1]      	,0.378     	,41              	,
21 	,F      	,9  	,12 	,1730.40   	,6       	,3/2+              	,0.05 PS 4                	,1450.5    	,2       	,[M1]      	,0.026     	,21              	,
21 	,F      	,9  	,12 	,1730.40   	,6       	,3/2+              	,0.05 PS 4                	,1730.28   	,8       	,[M1]      	,0.07      	,6               	,
22 	,F      	,9  	,13 	,709.1     	,3       	,(2+)              	,57 FS 28                 	,637.4     	,2       	,[M1]      	,1.5       	,8               	,
18 	,NE     	,10 	,8  	,3616.4    	,6       	,2+                	,44 FS +21-14             	,1729      	,	,M1        	,0.088     	,38              	,
19 	,NE     	,10 	,9  	,1536.0    	,4       	,3/2+              	,19 FS 8                  	,1297.7    	,	,M1        	,0.50      	,28              	,
21 	,NE     	,10 	,11 	,350.727   	,8       	,5/2+              	,7.13 PS 14               	,350.725   	,8       	,M1+E2     	,0.0712    	,14              	,
21 	,NE     	,10 	,11 	,1745.910  	,19      	,7/2+              	,52 FS 4                  	,1395.131  	,17      	,M1+E2     	,0.146     	,12              	,
21 	,NE     	,10 	,11 	,2794.17   	,3       	,1/2+              	,5.5 FS 7                 	,2793.94   	,5       	,M1        	,0.184     	,24              	,
21 	,NE     	,10 	,11 	,2866.6    	,2       	,9/2+              	,40 FS 4                  	,1120.0    	,3       	,M1+E2     	,0.24      	,3               	,
21 	,NE     	,10 	,11 	,3735.59   	,14      	,5/2+              	,10 FS LT                 	,3735.2    	,2       	,M1+E2     	,0.034     	,>               	,
21 	,NE     	,10 	,11 	,3735.59   	,14      	,5/2+              	,10 FS LT                 	,3384.6    	,2       	,M1+E2     	,0.0046    	,>               	,
21 	,NE     	,10 	,11 	,4433.3    	,7       	,11/2+             	,22 FS 3                  	,1567.2    	,10      	,M1+E2     	,0.20      	,4               	,
21 	,NE     	,10 	,11 	,4684.53   	,15      	,3/2+              	,11 FS 3                  	,4683.94   	,25      	,M1        	,0.0071    	,20              	,
21 	,NE     	,10 	,11 	,4684.53   	,15      	,3/2+              	,11 FS 3                  	,4333.35   	,25      	,M1        	,0.015     	,5               	,
21 	,NE     	,10 	,11 	,4684.53   	,15      	,3/2+              	,11 FS 3                  	,1890.4    	,3       	,(M1)      	,0.0069    	,22              	,
21 	,NE     	,10 	,11 	,6174.2    	,17      	,(5/2)+            	,9 FS 4                   	,4429      	,2       	,M1+E2     	,0.012     	,6               	,
21 	,NE     	,10 	,11 	,6174.2    	,17      	,(5/2)+            	,9 FS 4                   	,2438      	,2       	,M1+E2     	,0.008     	,+11-8           	,
21 	,NE     	,10 	,11 	,6267.0    	,16      	,9/2+              	,24 FS 12                 	,3400.1    	,16      	,M1+E2     	,0.016     	,9               	,
21 	,NE     	,10 	,11 	,6448.3    	,10      	,(13/2+)           	,14 FS LT                 	,2015      	,3       	,M1+E2     	,0.14      	,>               	,
22 	,NE     	,10 	,12 	,4456.2    	,9       	,2+                	,3.7 FS 25                	,3181.4    	,	,M1+E2     	,0.18      	,12              	,
22 	,NE     	,10 	,12 	,5329.6    	,13      	,1+                	,1.2 FS 3                 	,4054.6    	,	,M1+E2     	,0.020     	,11              	,
22 	,NE     	,10 	,12 	,5363.4    	,11      	,2+                	,69 FS 12                 	,4088.4    	,	,M1+E2     	,0.0039    	,8               	,
22 	,NE     	,10 	,12 	,5523.3    	,6       	,(4)+              	,21 FS 3                  	,2166.1    	,5       	,M1        	,0.102     	,15              	,
22 	,NE     	,10 	,12 	,5641.2    	,7       	,3+                	,3 FS LT                  	,4366.1    	,10      	,M1+E2     	,0.059     	,>               	,
22 	,NE     	,10 	,12 	,6119.9    	,16      	,2+                	,14 FS 7                  	,4844.8    	,	,M1+E2     	,0.0017    	,10              	,
22 	,NE     	,10 	,12 	,6119.9    	,16      	,2+                	,14 FS 7                  	,1663.6    	,	,M1+E2     	,0.012     	,8               	,
22 	,NE     	,10 	,12 	,6345.1    	,10      	,4+                	,13 FS 3                  	,2987.7    	,9       	,M1+E2     	,0.043     	,12              	,
22 	,NE     	,10 	,12 	,6819.4    	,16      	,2+                	,3 FS LT                  	,2363.1    	,	,M1+E2     	,0.021     	,>               	,
22 	,NE     	,10 	,12 	,7341.1    	,11      	,0+                	,3 FS LT                  	,2011.4    	,	,(M1)      	,0.51      	,>               	,
22 	,NE     	,10 	,12 	,7341.2    	,11      	,(4)+              	,35 FS 21                 	,3983.5    	,10      	,M1+E2     	,0.0033    	,22              	,
21 	,NA     	,11 	,10 	,331.90    	,10      	,5/2+              	,7.08 PS 8                	,331.91    	,10      	,M1+E2     	,0.0845    	,10              	,
21 	,NA     	,11 	,10 	,1716.1    	,3       	,7/2+              	,37 FS 8                  	,1384.1    	,3       	,M1+E2     	,0.20      	,5               	,
21 	,NA     	,11 	,10 	,2423.8    	,4       	,1/2+              	,1.7 FS 4                 	,2423.3    	,5       	,[M1]      	,0.91      	,22              	,
21 	,NA     	,11 	,10 	,3544.3    	,4       	,5/2+              	,15.5 EV 14               	,3544.0    	,6       	,M1+E2     	,15.39     	,5               	,
22 	,NA     	,11 	,11 	,657.00    	,14      	,0+                	,19.6 PS 7                	,73.9      	,1       	,M1        	,2.77      	,10              	,
22 	,NA     	,11 	,11 	,890.89    	,20      	,4+                	,10.0 PS 3                	,890.87    	,20      	,M1+E2     	,0.00028   	,5               	,
22 	,NA     	,11 	,11 	,1528.1    	,3       	,5+                	,3.42 PS 24               	,637.50    	,20      	,M1+E2     	,0.00020   	,7               	,
22 	,NA     	,11 	,11 	,1936.9    	,2       	,1+                	,13 FS 4                  	,1280.5    	,10      	,M1        	,4,0.80      	,
22 	,NA     	,11 	,11 	,2968.6    	,6       	,3+                	,32 FS 4                  	,1016.8    	,5       	,M1        	,0.65      	,9               	,
22 	,NA     	,11 	,11 	,3059.4    	,6       	,2+                	,23 FS 3                  	,2476.2    	,3       	,M1+E2     	,0.0018    	,7               	,
22 	,NA     	,11 	,11 	,3059.4    	,6       	,2+                	,23 FS 3                  	,1107.6    	,5       	,M1        	,14,0.68      	,
22 	,NA     	,11 	,11 	,3706.7    	,4       	,6+                	,59 FS 12                 	,2176.5    	,10      	,M1+E2     	,9,0.0003    	,5
22 	,NA     	,11 	,11 	,4071.4    	,6       	,4+                	,0.7 FS LT                	,2088.2    	,5       	,M1        	,3.0       	,>               	,
22 	,NA     	,11 	,11 	,4319.0    	,5       	,1+                	,17 FS 10                 	,3662.0    	,	,M1        	,0.026     	,16              	,
