A  ,Element,Z  ,N  ,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma   ,B_exp (W.u.),B_exp Unc (W.u.),,
26,MG     ,12,14,4972.3,0.13,0+                ,446 FS 70                ,3163.35,        ,E2        ,0.06,0.04,          ,                
26,MG     ,12,14,4350.09,0.04,3+                ,105 FS 28                ,2541.18,0.06,M1+E2     ,0.06,0.05,,
26,MG     ,12,14,4835.13,0.05,2+                ,28 FS 6                  ,4834.61,0.18,E2        ,0.15,0.04,          ,                
26,MG     ,12,14,3941.57,0.04,3+                ,0.83 PS 0.12             ,1003.25,0.04,M1+E2     ,0.23,+0.37-0.22      ,,
26,MG     ,12,14,4332.52,0.05,2+                ,20 FS 3                  ,4332.2,0.3,[E2]      ,0.24,0.05,          ,                
26,MG     ,12,14,2938.33,0.04,2+                ,141 FS 8                 ,2938.15,0.05,E2        ,0.39,0.04,          ,                
26,MG     ,12,14,5715.91,0.08,4+                ,53 FS 16                 ,1774,0.9,M1+E2     ,0.4,0.2,,
26,MG     ,12,14,9111.2,0.5,6+                ,11 FS LE                 ,4792,        ,[E2]      ,0.8,                ,          ,                
26,MG     ,12,14,3588.56,0.09,0+                ,6.45 PS 0.48             ,1779.74,0.08,E2        ,1.07,0.08,          ,                
26,MG     ,12,14,5476.05,0.07,4+                ,21 FS 6                  ,3667.4,0.5,[E2]      ,1.1,0.4,          ,                
26,MG     ,12,14,6256.2,1.4,0+                ,53 FS 31                 ,4447.1,        ,E2        ,1.2,0.8,          ,                
26,MG     ,12,14,9111.2,0.5,6+                ,11 FS LE                 ,4209.4,        ,[E2]      ,1.4,                ,          ,                
26,MG     ,12,14,6978.3,0.8,(5+)              ,14 FS 5                  ,2660,2,M1+E2     ,1.5,1.2,,
26,MG     ,12,14,5715.91,0.08,4+                ,53 FS 16                 ,2776.82,0.2,[E2]      ,1.7,0.5,          ,                
26,MG     ,12,14,4901.44,0.07,4+                ,29 FS 6                  ,1962.99,0.24,[E2]      ,2.5,0.6,          ,                
26,MG     ,12,14,5715.91,0.08,4+                ,53 FS 16                 ,1365.54,0.2,M1+E2     ,3.1,1.4,,
26,MG     ,12,14,6978.3,0.8,(5+)              ,14 FS 5                  ,2628.1,        ,[E2]      ,3.2,1.4,          ,                
26,MG     ,12,14,4318.89,0.05,4+                ,272 FS 16                ,2510.01,0.05,[E2]      ,4.5,0.3,          ,                
26,MG     ,12,14,7396,1,(5+)              ,14 FS LE                 ,1680,1,(M1+E2)   ,4.6,                ,,
26,MG     ,12,14,6978.3,0.8,(5+)              ,14 FS 5                  ,3036.5,        ,E2        ,4.8,1.9,          ,                
26,MG     ,12,14,2938.33,0.04,2+                ,141 FS 8                 ,1129.61,0.04,M1+E2     ,6.1,2.1,,
26,MG     ,12,14,4972.3,0.13,0+                ,446 FS 70                ,2033.88,0.12,E2        ,7.4,1.3,          ,                
26,MG     ,12,14,9111.2,0.5,6+                ,11 FS LE                 ,3635,        ,[E2]      ,8.8,                ,          ,                
26,MG     ,12,14,4350.09,0.04,3+                ,105 FS 28                ,1411.72,0.04,M1+E2     ,9,4,,
26,MG     ,12,14,9111.2,0.5,6+                ,11 FS LE                 ,2488,        ,[E2]      ,9.4,                ,          ,                
26,MG     ,12,14,6622.94,0.14,(4+)              ,19 FS 5                  ,2290.2,0.3,[E2]      ,12,4,          ,                
26,MG     ,12,14,5476.05,0.07,4+                ,21 FS 6                  ,1534.49,0.15,M1+E2     ,12,5,,
26,MG     ,12,14,5476.05,0.07,4+                ,21 FS 6                  ,1157.23,0.06,M1+E2     ,12,+19-11          ,,
26,MG     ,12,14,6978.3,0.8,(5+)              ,14 FS 5                  ,2076.8,        ,M1+E2     ,13,9,,
26,MG     ,12,14,1808.74,0.04,2+                ,476 FS 21                ,1808.68,0.04,E2        ,13.4,0.6,          ,                
26,MG     ,12,14,4901.44,0.07,4+                ,29 FS 6                  ,3092.31,0.11,[E2]      ,14,3,          ,                
26,MG     ,12,14,6978.3,0.8,(5+)              ,14 FS 5                  ,1501.8,1,M1+E2     ,24,15,,
27,MG     ,12,15,984.88,0.05,3/2+              ,0.97 PS 0.24             ,984.88,0.08,M1+E2     ,6,1.9,,
27,MG     ,12,15,1698.52,0.08,5/2+              ,0.81 PS 0.17             ,1698.46,0.23,E2        ,10.1,2.3,          ,                
27,MG     ,12,15,3109.73,0.21,(7/2+)            ,71 FS 18                 ,1169.4,0.25,(M1+E2)   ,40,+6E+1-4E+1      ,,
28,MG     ,12,16,5702.1,0.7,0+                ,0.21 PS 0.03             ,4227.9,        ,[E2]      ,0.077,0.012,          ,                
28,MG     ,12,16,4878.6,1.3,2+                ,0.08 PS LT               ,4877,10,E2        ,0.097,                ,          ,                
28,MG     ,12,16,4878.6,1.3,2+                ,0.08 PS LT               ,3404.9,1.3,M1+E2     ,0.18,                ,,
28,MG     ,12,16,3862.15,0.14,0+                ,0.55 PS 0.07             ,2388.5,0.1,E2        ,2.6,0.4,          ,                
28,MG     ,12,16,4021,0.5,4+                ,105 FS 35                ,2547.7,0.6,(E2)      ,10,4,          ,                
28,MG     ,12,16,1473.54,0.1,2+                ,1.2 PS 0.1               ,1473.5,0.1,E2        ,13.4,1.2,          ,                
30,MG     ,12,18,1482.8,0.3,2+                ,1.5 PS 0.2               ,1482.1,0.5,E2        ,9.5,1.3,          ,                
30,MG     ,12,18,1788.2,0.4,0+                ,3.9 NS 0.4               ,305.5,0.3,E2        ,9.8,1.1,          ,                
32,MG     ,12,20,885.3,0.1,2+                ,11.4 PS 2                ,885.3,0.1,(E2)      ,15,3,          ,                
25,AL     ,13,12,1789.5,0.5,5/2+              ,393 FS 36                ,1789.4,0.5,M1+E2     ,2,0.6,,
25,AL     ,13,12,944.9,0.5,3/2+              ,4.3 PS 1.1               ,944.9,0.5,M1+E2     ,2,1.5,,
25,AL     ,13,12,451.7,0.5,1/2+              ,2.29 NS 0.04             ,451.7,0.5,[E2]      ,3.03,0.06,          ,                
25,AL     ,13,12,3424.2,0.8,(9/2)+            ,9.0 FS 1.4               ,3423.9,0.8,E2        ,4.8,1.6,          ,                
25,AL     ,13,12,944.9,0.5,3/2+              ,4.3 PS 1.1               ,493.3,0.7,M1+E2     ,5,+7-5            ,,
25,AL     ,13,12,2720.2,0.5,7/2+              ,201 FS 14                ,930.7,0.7,M1+E2     ,8,+14-8           ,,
25,AL     ,13,12,1789.5,0.5,5/2+              ,393 FS 36                ,844.6,0.7,M1+E2     ,8.7,2.3,,
25,AL     ,13,12,3424.2,0.8,(9/2)+            ,9.0 FS 1.4               ,1811.6,0.9,M1+E2     ,12,6,,
25,AL     ,13,12,1612.5,0.5,(7/2)+            ,12 FS 2                  ,1612.4,0.5,M1+E2     ,25,12,,
